prix,kilometrage,couleur_du_vehicule,etat_du_vehicule,boite,annee,cylindree,marque,modele,puissance_fiscale,type_de_carrosserie,carburant,kilometrage_log
10.545367754151743,5019.0,Blanc,Avec kilométrage,manuelle,2023.0,0.8,toyota,aygo,4.0,inconnu,Essence,8.521185212685776
11.082157933374816,190.0,Noir,Nouveau,manuelle,2020.0,1.4,jeep,inconnu,8.0,Compacte,Essence,5.25227342804663
8.959054514715692,248000.0,Gris,Avec kilométrage,manuelle,2007.0,1.4,volkswagen,golf,6.0,inconnu,Essence,12.421188057397055
11.050905878263567,230000.0,Noir,Nouveau,manuelle,2014.0,1.4,audi,q5,8.0,inconnu,Diesel,12.345838935721968
9.90353755128617,100562.0,Doré,Avec kilométrage,manuelle,2015.0,1.2,fiat,doblo,5.0,Autres,Diesel,11.518539675754697
10.021315031649332,250000.0,Noir,Avec kilométrage,manuelle,2014.0,1.5,dacia,dokker,6.0,Compacte,Diesel,12.429220196836383
11.918397239722838,116000.0,Blanc,Avec kilométrage,automatique,2016.0,2.0,bmw,x5,13.0,4 x 4,Diesel,11.661354090741
11.711784520403112,204000.0,Noir,Avec kilométrage,automatique,2011.0,3.0,porsche,cayenne,15.0,4 x 4,Diesel,12.225880174775122
11.461642696843066,125.0,Noir,Nouveau,automatique,2016.0,2.0,mercedes-benz,classe gla,9.0,Compacte,Essence,4.836281906951478
10.795506083434564,103.0,Bleu,Avec kilométrage,manuelle,2022.0,1.2,hyundai,i 20,5.0,Autres,Essence,4.6443908991413725
10.795506083434564,103.0,Bleu,Avec kilométrage,manuelle,2022.0,1.2,hyundai,i 20,5.0,Autres,Essence,4.6443908991413725
10.308985993422082,6821.0,Noir,Avec kilométrage,automatique,2024.0,3.0,nissan,juke,6.0,Autres,Essence,8.82790796297859
10.203629181337648,420000.0,Gris,Avec kilométrage,manuelle,2006.0,1.6,peugeot,partner,5.0,Utilitaire,Diesel,12.948012371209098
10.62135173563291,240000.0,Rouge,Avec kilométrage,manuelle,2017.0,1.6,ssangyong,tivoli,7.0,Utilitaire,Essence,12.388398368982115
10.463131911491967,580.0,Blanc,Nouveau,manuelle,2011.0,1.6,peugeot,3008,6.0,4 x 4,Diesel,6.364750756851911
10.513280297700861,102000.0,Gris,Avec kilométrage,manuelle,2022.0,1.2,hyundai,i 10,5.0,Compacte,Essence,11.532737896139919
9.87822102528824,200.0,Noir,Nouveau,manuelle,2016.0,1.4,fiat,punto,4.0,Autres,Essence,5.303304908059076
